"Μαγνησίας-Μούρεσι - Παραλία Παπά Νερό","","23.16858","39.40909","37012","Μούρεσι","",""
"Μαγνησίας-Νέες Παγασές - Παραλία Αλυκών","","22.93357","39.33353","38334","Νέες Παγασές","",""
"Μαγνησίας-Νταμούχαρη - Παραλία Νταμούχαρη","","23.18142","39.40380","37012","Νταμούχαρη","",""
"Μαγνησίας-Οβριός - Παραλία Οβριού","","23.08012","39.50653","37001","Οβριός","",""
"Μαγνησίας-Πάλτση - Παραλία Πάλτση","","23.31507","39.23663","37006","Πάλτση","",""
"Μαγνησίας-Πάου - Παραλία Πάου","","23.19629","39.20422","37006","Πάου","",""
"Μαγνησίας-Πλατανιάς - Παραλία Πλατανιά","","23.27071","39.14043","37006","Πλατανιάς","",""
"Μαγνησίας-Πλατανίδια - Παραλία Πλατανίδια","","23.03835","39.31481","37300","Πλατανίδια","",""
"Μαγνησίας-Ποτιστικά - Παραλία Μελανή","","23.29683","39.25991","37006","Ποτιστικά","",""
"Μαγνησίας-Ρόδια - Παραλία Βρωμονέρι","","23.33384","39.16371","37006","Ρόδια","",""
"Μαγνησίας-Τσαγκαράδα - Παραλία Μυλοποτάμου","","23.20290","39.37478","37012","Τσαγκαράδα","",""
"Μαγνησίας-Τσαγκαράδα - Παραλία Φακίστρα","","23.19316","39.38963","37012","Τσαγκαράδα","",""
"Μαγνησίας-Χορευτό - Παραλία Χορευτού","","23.11996","39.45601","37001","Χορευτό","",""
"Μαγνησίας-Χόρτο - Παραλία Χόρτου","","23.21725","39.18984","37006","Χόρτο","",""
"Μαγνησίας-Σκιάθος-Αχλαδιάς - Παραλία Αχλαδιές","Πρόσβαση άριστη, Πολυσύχναστη.","23.46433","39.14743","37002","Αχλαδιάς","",""
"Μαγνησίας-Σκιάθος-Ζορμπάδες - Παραλία Λυγαριές","Πρόσβαση καλή, Ερημική, Αναψυκτήριο.","23.44363","39.18112","37002","Ζορμπάδες","",""
"Μαγνησίας-Σκιάθος-Ζορμπάδες - Παραλία Μεγάλη Ασέληνος","Πρόσβαση άριστη, Ερημική, Ταβέρνα.","23.42276","39.17269","37002","Ζορμπάδες","",""
"Μαγνησίας-Σκιάθος-Καλύβια - Παραλία Ξάνεμος","Πρόσβαση καλή.","23.50752","39.18654","37002","Καλύβια","",""
"Μαγνησίας-Σκιάθος-Καναπίτσα - Παραλία Καναπίτσα","Πρόσβαση άριστη, Πολυσύχναστη.","23.46032","39.13665","37002","Καναπίτσα","",""
"Μαγνησίας-Σκιάθος-Καναπίτσα - Παραλία Σκλιθρί","Πρόσβαση άριστη, Πολυσύχναστη, Ταβέρνα.","23.45860","39.14138","37002","Καναπίτσα","",""
"Μαγνησίας-Σκιάθος-Καναπίτσα - Παραλία Τζανεριά","Πρόσβαση άριστη, Πολυσύχναστη, Αναψυκτήριο.","23.45738","39.13987","37002","Καναπίτσα","",""
"Μαγνησίας-Σκιάθος-Κατσαρός - Παραλία Βασιλιάς","Πρόσβαση άριστη, Αναψυκτήριο.","23.46817","39.15263","37002","Κατσαρός","",""
"Μαγνησίας-Σκιάθος-Κολιός - Παραλία Βρωμόλιμνος","Πρόσβαση άριστη, Πολυσύχναστη.","23.44674","39.13623","37002","Κολιός","",""
"Μαγνησίας-Σκιάθος-Κολιός - Παραλία Κολιός","Πρόσβαση άριστη, Πολυσύχναστη.","23.44588","39.14140","37002","Κολιός","",""
"Μαγνησίας-Σκιάθος-Κουκουναριές - Παραλία Αγ. Ελένη","Πρόσβαση άριστη, Πολυσύχναστη.","23.39165","39.15381","37002","Κουκουναριές","",""
"Μαγνησίας-Σκιάθος-Κουκουναριές - Παραλία Κουκουναριές","Πρόσβαση άριστη, Πολυσύχναστη, Αναψυκτήριο.","23.40195","39.14875","37002","Κουκουναριές","",""
"Μαγνησίας-Σκιάθος-Κουκουναριές - Παραλία Μανδράκι","Πρόσβαση καλή, Πολυσύχναστη.","23.39847","39.16537","37002","Κουκουναριές","",""
"Μαγνησίας-Σκιάθος-Κουκουναριές - Παραλία Μπανάνα","Πρόσβαση καλή, Πολυσύχναστη.","23.39262","39.14664","37002","Κουκουναριές","",""
"Μαγνησίας-Σκιάθος-Μάραθα - Παραλία Μάραθα","Πρόσβαση καλή, Πολυσύχναστη, Αναψυκτήριο.","23.41006","39.14573","37002","Μάραθα","",""
"Μαγνησίας-Σκιάθος-Ξάνεμος - Παραλία Ψαρόχωμα","Πρόσβαση καλή.","23.51201","39.17974","37002","Ξάνεμος","",""
"Μαγνησίας-Σκιάθος-Πλατανιάς - Παραλία Αγ. Παρασκευή","Πρόσβαση άριστη, Πολυσύχναστη, Ταβέρνες, Αναψυκτήριο.","23.43814","39.14229","37002","Πλατανιάς","",""
"Μαγνησίας-Σκιάθος-Σκιάθος - Παραλία Μεγάλη Άμμος","Πρόσβαση άριστη, Ναυαγοσώστης.","23.47954","39.16265","37002","Σκιάθος","",""
"Μαγνησίας-Σκιάθος-Τρούλος - Παραλία Τρούλος","Πρόσβαση άριστη, Πολυσύχναστη, Ναυαγοσώστης.","23.41974","39.14038","37002","Τρούλος","",""
"Μαγνησίας-Σκόπελος-Αγνώντας - Παραλία Λιμνονάρι","","23.69913","39.08913","37003","Αγνώντας","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Αγ. Ιωάννη","","23.64970","39.17280","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Αγγελέτου","","23.61592","39.19669","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Μαρί","","23.63359","39.18967","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Μαυράκι","","23.63923","39.17922","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Μουρτιά","","23.60279","39.18386","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Πεθαμένη","","23.62132","39.19530","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Γλώσσα - Παραλία Περιβόλου","","23.61433","39.19765","37003","Γλώσσα","",""
"Μαγνησίας-Σκόπελος-Λουτράκι - Παραλία Κατακαλούς","","23.61839","39.16434","37003","Λουτράκι","",""
"Μαγνησίας-Σκόπελος-Νέο Κλήμα - Παραλία Αρμενόπετρα","","23.62674","39.14629","37003","Νέο Κλήμα","",""
"Μαγνησίας-Σκόπελος-Νέο Κλήμα - Παραλία Έλιος","","23.64530","39.13406","37003","Νέο Κλήμα","",""
"Μαγνησίας-Σκόπελος-Νέο Κλήμα - Παραλία Καλύβες","","23.63181","39.14415","37003","Νέο Κλήμα","",""
"Μαγνησίας-Σκόπελος-Νέο Κλήμα - Παραλία Καρκατζούνα","","23.63748","39.14232","37003","Νέο Κλήμα","",""
"Μαγνησίας-Σκόπελος-Νέο Κλήμα - Παραλία Νέο Κλήμα ","","23.64181","39.13939","37003","Νέο Κλήμα","",""
"Μαγνησίας-Σκόπελος-Πάνορμος - Παραλία Καστάνη","Πρόσβαση με αυτοκίνητο και λίγο περπάτημα, Μικρή παραλία, Αμμώδης.","23.65569","39.12127","37003","Πάνορμος","",""
"Μαγνησίας-Σκόπελος-Πάνορμος - Παραλία Μηλιά","Πρόσβαση με αυτοκίνητο, Πολυσύχναστη.","23.65345","39.11617","37003","Πάνορμος","",""
"Μαγνησίας-Σκόπελος-Πάνορμος - Παραλία Πάνορμου","Πρόσβαση με αυτοκίνητο, Πολυσύχναστη, Εσιατόρια, Café Bars.","23.66371","39.11082","37003","Πάνορμος","",""
"Μαγνησίας-Σκόπελος-Σκόπελος - Παραλία Βαθιάς","","23.70256","39.15131","37003","Σκόπελος","",""
"Μαγνησίας-Σκόπελος-Σκόπελος - Παραλία Γλυστέρι","","23.71742","39.14296","37003","Σκόπελος","",""
"Μαγνησίας-Σκόπελος-Σκόπελος - Παραλία Γλυφονέρι","","23.72212","39.13073","37003","Σκόπελος","",""
"Μαγνησίας-Σκόπελος-Στάφυλος - Παραλία Στάφυλου","Πρόσβαση με αυτοκίνητο, Εστιατόριο, Beach Bar.","23.74855","39.08591","37003","Στάφυλος","",""
"Ρεθύμνης-Αγία Γαλήνη - Παραλία Αγ. Γαλήνη","Γαλάζια Σημαία 2013","24.69144","35.09815","74056","Αγία Γαλήνη","",""
"Ρεθύμνης-Πλακιάς - Παραλία Πλακιάς","Γαλάζια Σημαία 2013","24.39706","35.18903","74060","Πλακιάς","",""
"Χανίων-Αγία Μαρίνα - Παραλία Αγ. Μαρίνα","Γαλάζια Σημαία 2013","23.94026","35.51607","73014","Αγία Μαρίνα","",""
"Χανίων-Δαράτσος-Άγιοι Απόστολοι - Παραλία Άγ. Απόστολοι","Γαλάζια Σημαία 2013","23.97531","35.51186","73100","Δαράτσος","",""
"Χανίων-Πλατανιάς - Παραλία Πλατανιά","Γαλάζια Σημαία 2013","23.91258","35.51904","73014","Πλατανιάς","",""
"Χανίων-Σταυρός - Παραλία Σταυρός","Γαλάζια Σημαία 2013","24.09534","35.59107","73100","Σταυρός","",""
"Χανίων-Φαλάσαρνα  - Παραλία Φαλάσαρνα","Γαλάζια Σημαία 2013","23.57911","35.49893","73400","Φαλάσαρνα ","",""
